client_id,age,sexe,pays_residence,nationalite,secteur_activite,type_compte,revenu_annuel,solde_moyen,anciennete_compte,est_ppe,pays_risque,profil_risque,score_risque_reel,date_ouverture,nb_comptes_lies,litige_anterieur,kyc_valide
12E43C163A5F,80,M,France,Brésil,Technologie,Joint,61044,41534,30,False,False,vigilance,1,1996-04-09,1,False,True
48E37C7474BD,34,F,Mexique,Brésil,Défense,Joint,45891,43268,26,False,False,normal,0,2000-04-08,2,False,True
FDEAE37588BF,21,M,Tunisie,Allemagne,Santé,Courant,47878,30127,19,False,True,vigilance,1,2007-04-07,0,True,False
8B8D877537BB,55,M,Japon,Brésil,Retraité,Professionnel,28393,26448,2,False,False,vigilance,1,2024-04-02,1,False,True
57A129DF81F8,47,M,Maroc,Inde,Immobilier,Courant,59126,70209,30,True,False,vigilance,1,1996-04-09,3,False,False
42EFFD70A415,41,F,Brésil,Afghanistan,Industrie,Courant,36863,7910,6,False,False,suspect,2,2020-04-03,2,False,True
6E83CC28AEFF,74,M,Syrie,Syrie,Technologie,Épargne,28137,26398,24,False,True,suspect,2,2002-04-08,1,True,False
05FB7C1A4C39,34,M,Vietnam,Brésil,Défense,Professionnel,52348,38401,30,True,False,normal,0,1996-04-09,2,False,False
E050A23E48B4,53,M,Inde,Pays-Bas,Indépendant,Courant,44163,34015,14,False,False,normal,0,2012-04-05,2,False,True
3B523CF3C51B,27,F,Égypte,Turquie,Transport,Courant,27492,11078,5,False,False,vigilance,1,2021-04-03,0,False,True
7ED182877EF9,44,M,Brésil,Mexique,Retraité,Épargne,24289,43363,24,False,True,suspect,2,2002-04-08,0,False,True
A7B48194B886,52,F,Tunisie,Myanmar,Indépendant,Courant,46013,32042,26,True,True,fraudeur,3,2000-04-08,2,False,True
56BACFFFD5C1,51,M,Soudan,Iran,Arts,Épargne,34399,37865,28,True,True,fraudeur,3,1998-04-09,4,True,True
BDED7419A45D,50,F,Soudan,Vietnam,Transport,Courant,28835,23954,22,False,True,suspect,2,2004-04-07,2,False,False
5ED4AEF8859F,44,F,Iran,Afghanistan,Transport,Courant,35697,21368,12,True,True,fraudeur,3,2014-04-05,1,False,True
E11B46311532,74,M,Maroc,Brésil,Arts,Courant,19316,15982,18,False,False,ppe,2,2008-04-06,1,False,True
D06FF9D5DDF2,50,F,Maroc,Mexique,Industrie,Professionnel,32644,46353,22,False,False,normal,0,2004-04-07,1,False,True
D2452F532C56,63,M,Turquie,Brésil,Industrie,Épargne,33733,22640,13,True,False,ppe,2,2013-04-05,3,False,True
BB68A0922799,50,M,Australie,Maroc,Éducation,Professionnel,37637,49788,26,False,False,vigilance,1,2000-04-08,1,False,True
C6AC4E3A43A5,20,M,Corée du Nord,Yémen,Commerce,Épargne,39975,44481,16,False,True,suspect,2,2010-04-06,1,False,True
0D615A4B9E6F,75,F,France,Japon,Arts,Épargne,30922,28410,28,False,False,normal,0,1998-04-09,3,False,True
1F5C4C5474EE,29,F,Corée du Nord,Colombie,Arts,Joint,29641,15243,15,True,True,fraudeur,3,2011-04-06,0,False,False
D240998D8CC3,75,F,Afghanistan,Syrie,Finance,Épargne,67272,21073,24,False,True,suspect,2,2002-04-08,2,False,False
B45095DD832E,35,M,Japon,Suisse,Éducation,Professionnel,28982,32310,3,False,False,vigilance,1,2023-04-03,2,False,True
7914045255DF,47,F,Allemagne,Inde,Transport,Épargne,37971,44662,14,True,False,ppe,2,2012-04-05,1,False,False
818A390DC6CE,48,F,Mexique,Brésil,Santé,Épargne,36301,17834,12,False,False,normal,0,2014-04-05,2,False,True
95135EDD347F,68,M,Pays-Bas,Suisse,Finance,Courant,68596,77573,27,False,False,ppe,2,1999-04-09,3,False,True
42D1BD947D1F,29,F,Inde,Australie,Santé,Joint,56256,25716,9,False,False,vigilance,1,2017-04-04,1,False,True
6FAFD7DE8B80,23,M,Syrie,Égypte,Éducation,Professionnel,28289,28090,1,False,True,suspect,2,2025-04-02,4,True,False
C7D897CAA41A,78,M,France,Japon,Commerce,Épargne,37056,40618,7,False,False,normal,0,2019-04-04,4,False,True
712DB1B90847,28,M,Turquie,Maroc,Retraité,Courant,21856,24971,20,False,False,normal,0,2006-04-07,1,False,False
DD457690385F,22,M,Australie,Pays-Bas,Retraité,Professionnel,24831,23691,23,False,False,vigilance,1,2003-04-08,1,False,False
BF194B38A7E9,45,F,Soudan,Iran,Sans emploi,Joint,12139,4161,12,False,True,suspect,2,2014-04-05,4,True,False
54A27D34C0B1,67,F,Suède,Égypte,Finance,Joint,76766,42869,14,True,False,ppe,2,2012-04-05,4,False,True
62E4FF5BB598,35,F,Royaume-Uni,Mexique,Défense,Professionnel,53480,67076,15,True,False,normal,0,2011-04-06,4,False,True
EC4D4713D217,74,M,Soudan,Libye,Retraité,Épargne,24792,11345,23,False,True,suspect,2,2003-04-08,0,False,True
1B483B3BEFA4,59,M,Venezuela,Corée du Nord,Indépendant,Épargne,61443,3262,16,False,True,suspect,2,2010-04-06,2,True,False
98E9D3FD8306,51,F,Égypte,Turquie,Immobilier,Joint,47639,31731,14,False,False,vigilance,1,2012-04-05,2,False,True
F98E04243210,78,M,Égypte,Australie,Arts,Joint,23909,21197,23,False,False,normal,0,2003-04-08,0,False,True
80A1C6B47CD2,34,F,Turquie,Iran,Commerce,Épargne,56156,86332,12,True,False,fraudeur,3,2014-04-05,6,False,False
EC2857DA591A,24,F,Vietnam,Vietnam,Conseil,Joint,46282,34901,1,False,False,normal,0,2025-04-02,0,False,False
B09BDDB6FBC8,43,M,Royaume-Uni,Suède,Éducation,Épargne,30442,44582,3,False,False,vigilance,1,2023-04-03,1,True,True
10F657B93BE1,56,M,Brésil,Colombie,Retraité,Joint,25525,3959,26,False,False,vigilance,1,2000-04-08,2,False,False
B6BF9404AD75,57,M,Allemagne,Suisse,Indépendant,Courant,59826,72568,4,False,False,normal,0,2022-04-03,1,False,True
88E9D4C6CA6C,36,F,Vietnam,Inde,Santé,Courant,62669,32395,8,False,False,vigilance,1,2018-04-04,0,False,True
AD3B668C5FFD,58,M,Japon,Australie,Technologie,Épargne,57151,88515,18,True,False,ppe,2,2008-04-06,0,False,False
3C179E25F0E8,46,F,Maroc,Suisse,Technologie,Joint,21104,8235,15,False,False,vigilance,1,2011-04-06,1,False,True
A905107E65BD,52,M,Maroc,Suisse,Sans emploi,Professionnel,15917,3628,27,True,False,ppe,2,1999-04-09,1,False,True
797EEAB1AB5A,29,F,Suisse,Royaume-Uni,Retraité,Joint,30918,6976,14,False,False,vigilance,1,2012-04-05,3,False,False
2A40EE531486,36,M,Vietnam,Inde,Sans emploi,Courant,12477,6986,13,False,False,normal,0,2013-04-05,0,False,True
E803B597B721,60,F,France,Allemagne,Conseil,Épargne,62118,52827,18,False,False,vigilance,1,2008-04-06,2,False,True
BB5C927EC45A,53,F,Suisse,Vietnam,Finance,Courant,92729,1777,30,True,False,normal,0,1996-04-09,4,False,True
79F9B7DCF67A,53,M,France,Inde,Transport,Courant,31594,27898,3,False,False,normal,0,2023-04-03,2,False,True
40C7DCBD89DA,60,M,Inde,Inde,Éducation,Épargne,31756,36196,8,False,False,ppe,2,2018-04-04,0,False,True
A56152A62463,51,F,Libye,Mexique,Santé,Joint,59520,82198,10,True,True,fraudeur,3,2016-04-04,4,True,False
0F91B3943A62,77,M,Inde,Mexique,Immobilier,Épargne,66668,69611,28,False,False,vigilance,1,1998-04-09,2,False,True
7F2A3B56F9AB,46,M,Soudan,Libye,Arts,Courant,24252,30673,27,True,True,fraudeur,3,1999-04-09,5,False,True
341C8E56828A,24,M,Inde,Suède,Agriculture,Joint,30072,35255,30,False,False,normal,0,1996-04-09,3,False,True
4EC43042ECE5,59,F,Mexique,Tunisie,Technologie,Joint,56747,31481,28,False,True,normal,0,1998-04-09,4,False,True
04A8CBA03AA4,48,M,Égypte,Yémen,Technologie,Professionnel,47927,15064,14,False,True,fraudeur,3,2012-04-05,4,False,True
D85B2B26E44F,33,M,Suède,Canada,Agriculture,Épargne,25805,20552,14,True,False,vigilance,1,2012-04-05,3,False,True
B3AB7490894B,39,F,Corée du Nord,Venezuela,Sans emploi,Joint,13473,18096,9,False,True,fraudeur,3,2017-04-04,1,False,True
119CB0AB9721,55,F,Turquie,Inde,Industrie,Professionnel,36533,32204,21,False,False,vigilance,1,2005-04-07,2,False,True
BCDA1A789DB1,62,F,Maroc,Suisse,Industrie,Courant,28415,6734,1,False,False,vigilance,1,2025-04-02,5,False,True
C602EC207F23,73,F,Vietnam,Turquie,Défense,Épargne,50984,70875,10,True,False,ppe,2,2016-04-04,2,False,True
4550EE77426C,75,F,Venezuela,Maroc,Sans emploi,Courant,11274,8998,21,False,True,suspect,2,2005-04-07,1,False,True
BE4EDBAB6302,29,F,Brésil,Colombie,Commerce,Professionnel,47660,52823,5,False,False,normal,0,2021-04-03,3,False,True
77E5AC2626AC,39,M,Russie,Corée du Nord,Arts,Épargne,26078,25636,4,False,True,suspect,2,2022-04-03,1,False,False
65D4A175B371,36,M,Tunisie,Syrie,Technologie,Courant,60835,72600,26,True,False,fraudeur,3,2000-04-08,4,False,False
8D486B72116E,24,M,Vietnam,Venezuela,Sans emploi,Professionnel,15482,18326,8,False,False,suspect,2,2018-04-04,3,True,False
987A8DDB31D3,38,M,Syrie,Syrie,Technologie,Joint,86277,41126,5,True,True,fraudeur,3,2021-04-03,2,True,False
2D8D95EAE553,60,F,Turquie,Suède,Indépendant,Joint,50673,3848,23,False,False,vigilance,1,2003-04-08,0,False,False
92F4680CBAFA,31,F,Turquie,Pays-Bas,Éducation,Professionnel,38460,59631,15,False,False,normal,0,2011-04-06,3,False,True
24F8DC155F15,78,M,Pays-Bas,Australie,Conseil,Courant,40477,62034,27,True,False,normal,0,1999-04-09,2,False,True
C541B3A2D199,31,F,Égypte,Suède,Retraité,Courant,23646,16247,7,False,False,normal,0,2019-04-04,2,False,True
4E0746292FF8,73,F,Corée du Nord,Maroc,Santé,Épargne,32868,44094,5,False,True,suspect,2,2021-04-03,4,True,True
A84C641F7AE7,51,F,Brésil,Inde,Technologie,Professionnel,58696,45654,24,False,False,normal,0,2002-04-08,8,False,False
DDEF2D4B43DD,37,M,Colombie,Vietnam,Éducation,Joint,28313,21037,21,False,False,normal,0,2005-04-07,2,False,True
048E6B2118EB,27,F,Soudan,Soudan,Technologie,Professionnel,72725,103018,5,False,True,suspect,2,2021-04-03,1,False,True
E4CAD36AE93E,65,M,Canada,Inde,Défense,Épargne,50326,81475,25,True,False,ppe,2,2001-04-08,4,False,False
94EAD3279738,60,F,Tunisie,Royaume-Uni,Industrie,Courant,38008,45177,12,False,False,normal,0,2014-04-05,0,False,True
9CD8F8D85AB9,55,M,Afghanistan,Yémen,Agriculture,Joint,38934,44818,18,False,True,suspect,2,2008-04-06,1,False,False
55A98FB590DA,63,F,Brésil,Mexique,Agriculture,Courant,19614,27022,7,True,False,ppe,2,2019-04-04,2,True,True
CD86CDAD4081,72,M,Brésil,Suisse,Agriculture,Courant,39014,32367,25,False,False,normal,0,2001-04-08,4,False,True
1A4F5D01A2D5,54,M,Suède,France,Sans emploi,Courant,11964,13382,13,False,False,normal,0,2013-04-05,1,False,True
B515B910A967,67,M,Tunisie,Suède,Retraité,Épargne,23970,23041,20,False,True,vigilance,1,2006-04-07,2,True,True
BF03586FFE98,44,M,Inde,Turquie,Industrie,Joint,42932,18205,7,False,False,vigilance,1,2019-04-04,1,False,True
EB3A7F7FA935,43,M,Japon,Maroc,Retraité,Épargne,23699,28013,2,False,False,normal,0,2024-04-02,1,False,True
8DBD5826E159,29,M,Brésil,Colombie,Finance,Professionnel,58106,28056,13,True,False,vigilance,1,2013-04-05,1,True,True
0EA4EA642EBB,43,F,Mexique,Syrie,Transport,Joint,34250,13217,19,True,False,fraudeur,3,2007-04-07,3,False,False
FB29A165E4DB,23,M,Inde,Yémen,Transport,Joint,30101,26657,28,False,False,suspect,2,1998-04-09,2,False,True
0232DF082319,22,M,Canada,Turquie,Agriculture,Professionnel,35108,19374,21,False,False,normal,0,2005-04-07,1,False,True
E122B4A2AD20,29,M,Australie,Canada,Retraité,Joint,21373,6599,5,False,False,normal,0,2021-04-03,2,False,True
A8124216B86A,57,F,Venezuela,Corée du Nord,Immobilier,Courant,77081,53986,28,False,True,suspect,2,1998-04-09,0,False,False
803BF9471B6F,50,F,Turquie,Allemagne,Technologie,Courant,70216,28425,10,False,False,vigilance,1,2016-04-04,3,False,False
DE8A7BED511B,42,M,Colombie,Inde,Éducation,Épargne,46971,0,19,False,False,normal,0,2007-04-07,1,False,True
74D026F56B64,80,M,Tunisie,Allemagne,Indépendant,Épargne,40429,31570,3,False,False,normal,0,2023-04-03,1,False,True
D6EB98ADD910,42,M,Maroc,Tunisie,Transport,Courant,29587,19518,25,False,False,vigilance,1,2001-04-08,4,False,True
EAEBFEAC6A9A,56,M,Colombie,Afghanistan,Conseil,Épargne,55851,25439,5,False,False,suspect,2,2021-04-03,3,False,False
77CFE9CCC3B8,37,F,Royaume-Uni,Suède,Agriculture,Courant,24746,6109,13,False,False,normal,0,2013-04-05,2,False,True
37776F312FEE,39,M,Australie,Suède,Arts,Épargne,28155,23958,16,True,False,normal,0,2010-04-06,1,False,True
16A539DCD90D,20,M,Brésil,Afghanistan,Sans emploi,Épargne,10900,5990,11,False,False,suspect,2,2015-04-05,0,False,False
98110EF2FD52,20,M,Inde,Inde,Transport,Professionnel,30853,14019,12,False,False,normal,0,2014-04-05,1,False,True
BB67589DB89B,53,F,Maroc,Libye,Conseil,Professionnel,55533,25968,7,True,False,fraudeur,3,2019-04-04,3,False,True
31FD7B6EDCB0,73,F,Suède,Turquie,Industrie,Courant,35385,38999,2,False,False,normal,0,2024-04-02,1,False,True
1A1143852521,75,M,Inde,Japon,Agriculture,Joint,30595,33671,5,False,False,normal,0,2021-04-03,1,False,True
D9E01C8A85FF,23,F,Mexique,Pays-Bas,Immobilier,Professionnel,50313,51733,8,False,False,vigilance,1,2018-04-04,1,False,False
CFF4E2A72CE2,67,M,Tunisie,Australie,Éducation,Courant,24281,19891,15,True,False,ppe,2,2011-04-06,0,False,False
BF6B2981DE3D,67,M,Pays-Bas,Allemagne,Industrie,Épargne,27805,31116,8,False,False,vigilance,1,2018-04-04,1,False,True
61DE533C53D8,25,M,Afghanistan,Russie,Sans emploi,Professionnel,18681,2906,17,True,True,fraudeur,3,2009-04-06,1,False,True
61E9D3B2959A,51,M,Royaume-Uni,Mexique,Immobilier,Joint,51017,56327,3,True,False,vigilance,1,2023-04-03,3,False,True
8C07B833169C,40,M,Royaume-Uni,Tunisie,Commerce,Épargne,24546,9498,24,True,False,vigilance,1,2002-04-08,3,False,True
F229ED23C03F,62,M,Libye,Iran,Éducation,Joint,37222,31108,21,True,True,suspect,2,2005-04-07,1,True,False
5FF4820F4C41,37,F,Soudan,Syrie,Agriculture,Épargne,32928,47154,13,False,True,suspect,2,2013-04-05,1,False,True
6651CDE69770,70,F,Mexique,Australie,Immobilier,Joint,51103,52908,14,True,False,ppe,2,2012-04-05,0,False,True
D9C73F215DAD,23,F,Syrie,Afghanistan,Indépendant,Épargne,45313,28619,14,False,True,suspect,2,2012-04-05,2,False,True
73A54E606436,64,F,Brésil,Brésil,Indépendant,Courant,39730,46843,14,True,False,ppe,2,2012-04-05,2,False,True
FD6194E69BB9,46,F,Pays-Bas,Brésil,Technologie,Épargne,37550,24760,22,False,False,ppe,2,2004-04-07,2,False,False
24683B0BEAD7,33,F,Royaume-Uni,Mexique,Arts,Courant,26660,30105,21,False,False,normal,0,2005-04-07,3,False,True
0F437CF7A3E4,51,F,Afghanistan,Syrie,Immobilier,Courant,59916,61568,13,True,True,suspect,2,2013-04-05,1,True,True
DF1FF42B1E9E,49,M,Corée du Nord,Égypte,Industrie,Professionnel,44075,57250,23,True,True,fraudeur,3,2003-04-08,4,False,True
FD19C31FD6AC,46,M,Royaume-Uni,Tunisie,Finance,Professionnel,75794,34680,29,False,False,normal,0,1997-04-09,0,False,True
993129649241,68,M,Canada,Australie,Immobilier,Épargne,75513,72553,17,False,False,normal,0,2009-04-06,3,False,True
EF35C733295B,26,M,Égypte,Maroc,Retraité,Joint,30177,18774,29,False,False,vigilance,1,1997-04-09,0,False,True
946A7D7EFFD9,80,F,Iran,Libye,Immobilier,Professionnel,66781,28791,21,False,True,suspect,2,2005-04-07,4,False,False
7CADB00B9C60,45,M,Suède,Colombie,Agriculture,Épargne,23649,14067,30,False,False,vigilance,1,1996-04-09,3,False,True
6826CA173BA6,34,M,Libye,Venezuela,Conseil,Professionnel,56985,105845,3,True,True,fraudeur,3,2023-04-03,1,True,False
21C2C4A9C8DB,55,F,Canada,Allemagne,Retraité,Courant,32554,33729,5,False,False,vigilance,1,2021-04-03,2,False,True
B944E19474AB,57,F,Brésil,Maroc,Sans emploi,Joint,16516,22101,1,False,False,normal,0,2025-04-02,4,False,True
5ACAE523A5D0,58,F,Turquie,Égypte,Éducation,Professionnel,54278,54798,15,False,False,ppe,2,2011-04-06,1,False,True
DAC0D24490E9,50,M,Turquie,Inde,Agriculture,Courant,36425,20648,4,False,False,vigilance,1,2022-04-03,0,True,True
96F2E11D83D1,33,F,Brésil,Tunisie,Conseil,Épargne,43866,6056,29,False,False,vigilance,1,1997-04-09,3,False,True
3DA18AA88FB3,23,M,France,Australie,Transport,Professionnel,32649,47915,17,True,False,normal,0,2009-04-06,1,False,True
259F8E7E9220,45,M,Mexique,Canada,Conseil,Professionnel,52296,36131,4,True,False,ppe,2,2022-04-03,3,False,True
3E71F61606CD,36,F,Égypte,Égypte,Technologie,Professionnel,82187,102785,13,False,False,normal,0,2013-04-05,0,False,True
EFBDFAA536A8,68,M,Turquie,Australie,Immobilier,Joint,46200,46508,18,False,True,normal,0,2008-04-06,1,False,True
852451721078,27,M,Inde,Tunisie,Retraité,Professionnel,20164,14804,29,False,False,vigilance,1,1997-04-09,3,False,True
7C375A60784C,52,F,Colombie,Vietnam,Éducation,Courant,30365,32481,23,False,False,normal,0,2003-04-08,2,False,True
A9D54DDABE3C,62,F,Russie,Syrie,Sans emploi,Épargne,11921,6945,1,False,True,suspect,2,2025-04-02,1,False,True
F1198CCB784D,71,M,Égypte,Maroc,Transport,Courant,33215,46554,5,True,False,ppe,2,2021-04-03,2,False,True
08D064B8EF19,67,M,Colombie,Suède,Retraité,Épargne,18347,16172,30,False,False,normal,0,1996-04-09,1,False,True
5BC072F6095A,42,F,Yémen,Afghanistan,Immobilier,Épargne,56261,56885,18,False,True,fraudeur,3,2008-04-06,3,True,True
17F938272026,49,F,Égypte,Soudan,Industrie,Professionnel,43882,21543,23,True,False,fraudeur,3,2003-04-08,1,False,True
2E5F4A6FDC35,42,M,Égypte,Maroc,Défense,Courant,41237,20976,13,False,False,vigilance,1,2013-04-05,1,False,True
42A8B31547C1,31,F,Vietnam,Égypte,Commerce,Professionnel,38750,28979,27,False,False,normal,0,1999-04-09,1,False,True
8EFAAF467AD3,65,F,Colombie,Brésil,Commerce,Joint,35334,25027,2,True,False,ppe,2,2024-04-02,2,True,True
B6377EA1E00F,54,F,Yémen,Venezuela,Défense,Professionnel,44534,56279,29,True,True,fraudeur,3,1997-04-09,4,False,False
6C2EA70753A5,52,M,Japon,Brésil,Indépendant,Épargne,27973,42123,24,False,True,normal,0,2002-04-08,3,False,True
E6E07394B585,74,M,Maroc,Tunisie,Santé,Professionnel,63157,6237,1,False,False,normal,0,2025-04-02,2,False,False
E486F4E3AB8F,47,F,Colombie,Canada,Industrie,Joint,23344,34516,7,False,False,normal,0,2019-04-04,3,True,True
A52829C16D09,29,F,Australie,Brésil,Retraité,Professionnel,23819,29567,28,False,False,normal,0,1998-04-09,3,False,True
330754F3B693,18,F,Japon,Suisse,Industrie,Professionnel,42462,4922,13,False,False,normal,0,2013-04-05,1,True,True
FDDCE54FD3A6,48,F,Maroc,France,Éducation,Professionnel,37230,27044,10,True,False,ppe,2,2016-04-04,2,False,True
C6D77E53D4F8,48,F,Suède,Brésil,Finance,Joint,43815,44723,15,False,False,normal,0,2011-04-06,3,False,True
0D3497C28C71,70,F,Égypte,Tunisie,Technologie,Courant,79446,113464,17,True,False,ppe,2,2009-04-06,1,False,True
186AC4B192F0,72,M,Tunisie,Vietnam,Agriculture,Courant,29051,32613,15,False,False,normal,0,2011-04-06,2,False,True
596238122882,53,M,Allemagne,Mexique,Éducation,Professionnel,39727,20248,22,False,False,vigilance,1,2004-04-07,0,False,True
A6F7FBA8F3BB,52,F,Royaume-Uni,Allemagne,Santé,Professionnel,35656,36811,30,False,False,normal,0,1996-04-09,1,False,False
AC3C2A2B259A,73,F,Inde,Tunisie,Transport,Épargne,44389,19819,15,True,False,ppe,2,2011-04-06,2,False,True
DA1D0E283B50,71,F,Japon,Inde,Santé,Joint,54933,48007,25,False,False,vigilance,1,2001-04-08,1,False,True
4249BB3A2EBD,20,M,Pays-Bas,Japon,Arts,Épargne,24776,21029,22,True,False,normal,0,2004-04-07,2,False,True
3CFA372F79E3,20,M,Syrie,Russie,Transport,Courant,32534,29183,15,False,True,suspect,2,2011-04-06,0,False,True
D2290EDD152E,43,F,Afghanistan,Syrie,Retraité,Épargne,23832,35946,25,False,True,fraudeur,3,2001-04-08,6,False,True
2DCCA1162555,78,F,Égypte,Égypte,Retraité,Joint,15538,19541,29,True,False,normal,0,1997-04-09,0,False,True
38ABEE5C418A,44,M,Brésil,Égypte,Finance,Joint,64032,67122,10,False,False,vigilance,1,2016-04-04,1,False,True
4DE848592B94,53,M,Allemagne,Mexique,Transport,Épargne,37661,39326,14,False,False,vigilance,1,2012-04-05,4,True,True
25261FA7F3BC,64,F,Égypte,Mexique,Conseil,Courant,38207,29680,7,False,False,vigilance,1,2019-04-04,2,False,True
88610CBFD6CA,31,F,Vietnam,France,Conseil,Épargne,59725,52741,30,False,False,vigilance,1,1996-04-09,1,True,False
0822D80A7A10,62,F,Japon,Japon,Retraité,Professionnel,18810,22971,23,False,False,vigilance,1,2003-04-08,6,False,True
B4303E3285A3,74,F,Colombie,Tunisie,Éducation,Épargne,25882,25892,15,False,False,normal,0,2011-04-06,0,False,True
AD4FF6BC40C0,53,F,Suisse,Maroc,Défense,Épargne,50132,30505,19,False,False,normal,0,2007-04-07,2,False,True
26C2C6E60FFF,34,F,Tunisie,Inde,Arts,Épargne,30310,852,27,False,False,vigilance,1,1999-04-09,2,False,True
BFB113C1F2BF,59,M,Égypte,Allemagne,Santé,Courant,52670,60878,17,False,False,normal,0,2009-04-06,1,False,True
BEEFC9F90B27,47,F,Colombie,Vietnam,Immobilier,Courant,58954,72288,2,True,False,normal,0,2024-04-02,5,True,True
3E1E5A1E7909,19,F,Maroc,Canada,Agriculture,Courant,43793,28678,27,False,False,normal,0,1999-04-09,4,False,True
CB2DA8AE0AA9,35,F,Turquie,Mexique,Arts,Joint,23113,25827,13,False,False,normal,0,2013-04-05,0,False,True
1EB801915981,72,M,Venezuela,Yémen,Sans emploi,Joint,8773,3794,25,False,True,suspect,2,2001-04-08,1,True,True
B5278957C20A,72,M,Vietnam,Colombie,Transport,Courant,34757,31061,21,False,False,normal,0,2005-04-07,2,False,True
52B510E6D362,61,M,Royaume-Uni,Canada,Défense,Professionnel,46409,21801,9,True,False,normal,0,2017-04-04,4,False,True
EC3919BB5D3C,37,F,Vietnam,Venezuela,Finance,Professionnel,67163,66960,19,False,False,suspect,2,2007-04-07,2,False,False
629E67D3BC57,21,M,Turquie,Tunisie,Technologie,Joint,53789,30144,14,False,False,normal,0,2012-04-05,1,False,True
55C0C3CFF16B,40,M,Japon,Mexique,Agriculture,Courant,27024,19801,13,False,False,vigilance,1,2013-04-05,4,False,True
9D2F95304301,63,F,Mexique,Tunisie,Arts,Professionnel,35954,20554,21,False,True,normal,0,2005-04-07,1,False,True
12C6754A0D12,23,F,Suède,Pays-Bas,Finance,Courant,57821,60895,14,False,False,normal,0,2012-04-05,1,False,True
E1EDB99A4177,44,M,Iran,Afghanistan,Transport,Épargne,45832,69589,25,False,True,suspect,2,2001-04-08,0,True,True
E0E196FCF81A,22,F,Suède,Maroc,Finance,Joint,60287,62307,14,False,False,normal,0,2012-04-05,0,False,True
63A4E5A85E39,47,M,Australie,Mexique,Technologie,Professionnel,63430,59229,5,False,False,vigilance,1,2021-04-03,2,False,True
ABE056D84FED,37,F,Suède,Tunisie,Immobilier,Épargne,37716,11204,20,False,False,vigilance,1,2006-04-07,2,False,True
8DC78E256D11,38,F,Japon,Pays-Bas,Transport,Épargne,31376,27909,9,False,False,vigilance,1,2017-04-04,3,False,True
9A9D05BF6EA0,47,M,Libye,Tunisie,Commerce,Joint,34280,41741,15,True,True,fraudeur,3,2011-04-06,8,True,True
529D54865AD2,63,M,Suède,Inde,Transport,Joint,38516,44022,26,False,False,normal,0,2000-04-08,3,False,True
D74867A966B3,68,M,Allemagne,Pays-Bas,Immobilier,Épargne,53704,25057,23,False,False,vigilance,1,2003-04-08,1,False,True
2CD5D9BA202E,37,M,Venezuela,Iran,Arts,Professionnel,30342,29133,11,True,True,fraudeur,3,2015-04-05,1,False,False
188C984D4A4C,56,M,Turquie,Brésil,Transport,Courant,40724,8317,15,True,False,ppe,2,2011-04-06,2,False,True
